"D62R Social benefits other than social transfers in kind, receivable","Etelä-Savo",1275
"D62R Social benefits other than social transfers in kind, receivable","Pohjois-Savo",1956
"D62R Social benefits other than social transfers in kind, receivable","North Karelia",1329
"D62R Social benefits other than social transfers in kind, receivable","Central Finland",2130
"D62R Social benefits other than social transfers in kind, receivable","South Ostrobothnia",1392
"D62R Social benefits other than social transfers in kind, receivable","Ostrobothnia",1262
"D62R Social benefits other than social transfers in kind, receivable","Central Ostrobothnia",483
"D62R Social benefits other than social transfers in kind, receivable","North Ostrobothnia",2876
"D62R Social benefits other than social transfers in kind, receivable","Kainuu",655
"D62R Social benefits other than social transfers in kind, receivable","Lapland",1500
"D62R Social benefits other than social transfers in kind, receivable","Åland",226
"D7R Other current transfers, receivable","WHOLE COUNTRY",2051
"D7R Other current transfers, receivable","Uusimaa",515
"D7R Other current transfers, receivable","Varsinais-Suomi",187
"D7R Other current transfers, receivable","Satakunta",98
"D7R Other current transfers, receivable","Kanta-Häme",73
"D7R Other current transfers, receivable","Pirkanmaa",189
"D7R Other current transfers, receivable","Päijät-Häme",74
"D7R Other current transfers, receivable","Kymenlaakso",73
"D7R Other current transfers, receivable","South Karelia",52
"D7R Other current transfers, receivable","Etelä-Savo",62
"D7R Other current transfers, receivable","Pohjois-Savo",96
"D7R Other current transfers, receivable","North Karelia",68
"D7R Other current transfers, receivable","Central Finland",104
"D7R Other current transfers, receivable","South Ostrobothnia",86
"D7R Other current transfers, receivable","Ostrobothnia",73
"D7R Other current transfers, receivable","Central Ostrobothnia",28
"D7R Other current transfers, receivable","North Ostrobothnia",156
"D7R Other current transfers, receivable","Kainuu",30
"D7R Other current transfers, receivable","Lapland",76
"D7R Other current transfers, receivable","Åland",11
"D5K Current taxes on income and wealth, etc., payable","WHOLE COUNTRY",28971
"D5K Current taxes on income and wealth, etc., payable","Uusimaa",10671
"D5K Current taxes on income and wealth, etc., payable","Varsinais-Suomi",2392
"D5K Current taxes on income and wealth, etc., payable","Satakunta",1047
"D5K Current taxes on income and wealth, etc., payable","Kanta-Häme",873
"D5K Current taxes on income and wealth, etc., payable","Pirkanmaa",2546
"D5K Current taxes on income and wealth, etc., payable","Päijät-Häme",956
"D5K Current taxes on income and wealth, etc., payable","Kymenlaakso",878
"D5K Current taxes on income and wealth, etc., payable","South Karelia",644
"D5K Current taxes on income and wealth, etc., payable","Etelä-Savo",666
"D5K Current taxes on income and wealth, etc., payable","Pohjois-Savo",1132
"D5K Current taxes on income and wealth, etc., payable","North Karelia",687
"D5K Current taxes on income and wealth, etc., payable","Central Finland",1247
"D5K Current taxes on income and wealth, etc., payable","South Ostrobothnia",839
"D5K Current taxes on income and wealth, etc., payable","Ostrobothnia",912
"D5K Current taxes on income and wealth, etc., payable","Central Ostrobothnia",306
"D5K Current taxes on income and wealth, etc., payable","North Ostrobothnia",1850
"D5K Current taxes on income and wealth, etc., payable","Kainuu",324
"D5K Current taxes on income and wealth, etc., payable","Lapland",818
"D5K Current taxes on income and wealth, etc., payable","Åland",184
"D61K Social contributions, payable","WHOLE COUNTRY",27403
"D61K Social contributions, payable","Uusimaa",10161
"D61K Social contributions, payable","Varsinais-Suomi",2236
"D61K Social contributions, payable","Satakunta",1009
"D61K Social contributions, payable","Kanta-Häme",845
"D61K Social contributions, payable","Pirkanmaa",2434
"D61K Social contributions, payable","Päijät-Häme",892
"D61K Social contributions, payable","Kymenlaakso",794
"D61K Social contributions, payable","South Karelia",594
"D61K Social contributions, payable","Etelä-Savo",590
"D61K Social contributions, payable","Pohjois-Savo",1060
"D61K Social contributions, payable","North Karelia",633
"D61K Social contributions, payable","Central Finland",1172
"D61K Social contributions, payable","South Ostrobothnia",791
"D61K Social contributions, payable","Ostrobothnia",874
"D61K Social contributions, payable","Central Ostrobothnia",292
"D61K Social contributions, payable","North Ostrobothnia",1793
"D61K Social contributions, payable","Kainuu",295
"D61K Social contributions, payable","Lapland",770
"D61K Social contributions, payable","Åland",166
"D7K Other current transfers, payable","WHOLE COUNTRY",3760
"D7K Other current transfers, payable","Uusimaa",982
"D7K Other current transfers, payable","Varsinais-Suomi",317
"D7K Other current transfers, payable","Satakunta",179
"D7K Other current transfers, payable","Kanta-Häme",126
"D7K Other current transfers, payable","Pirkanmaa",356
"D7K Other current transfers, payable","Päijät-Häme",135
"D7K Other current transfers, payable","Kymenlaakso",132
"D7K Other current transfers, payable","South Karelia",96
"D7K Other current transfers, payable","Etelä-Savo",109
"D7K Other current transfers, payable","Pohjois-Savo",174
"D7K Other current transfers, payable","North Karelia",117
"D7K Other current transfers, payable","Central Finland",194
"D7K Other current transfers, payable","South Ostrobothnia",156
"D7K Other current transfers, payable","Ostrobothnia",142
"D7K Other current transfers, payable","Central Ostrobothnia",52
"D7K Other current transfers, payable","North Ostrobothnia",279
"D7K Other current transfers, payable","Kainuu",56
"D7K Other current transfers, payable","Lapland",131
"D7K Other current transfers, payable","Åland",28
"B6NT Disposable income, net","WHOLE COUNTRY",112074
"B6NT Disposable income, net","Uusimaa",36845
"B6NT Disposable income, net","Varsinais-Suomi",9529
"B6NT Disposable income, net","Satakunta",4456
"B6NT Disposable income, net","Kanta-Häme",3524
"B6NT Disposable income, net","Pirkanmaa",10000
"B6NT Disposable income, net","Päijät-Häme",3930
"B6NT Disposable income, net","Kymenlaakso",3542
"B6NT Disposable income, net","South Karelia",2576
"B6NT Disposable income, net","Etelä-Savo",2955
"B6NT Disposable income, net","Pohjois-Savo",4749
"B6NT Disposable income, net","North Karelia",3055
"B6NT Disposable income, net","Central Finland",5237
"B6NT Disposable income, net","South Ostrobothnia",3628
"B6NT Disposable income, net","Ostrobothnia",3664
"B6NT Disposable income, net","Central Ostrobothnia",1265
"B6NT Disposable income, net","North Ostrobothnia",7503
"B6NT Disposable income, net","Kainuu",1440
"B6NT Disposable income, net","Lapland",3496
"B6NT Disposable income, net","Åland",681
"KVAKI Mean population (persons)","WHOLE COUNTRY",5461512
"KVAKI Mean population (persons)","Uusimaa",1594431
"KVAKI Mean population (persons)","Varsinais-Suomi",471803
"KVAKI Mean population (persons)","Satakunta",224270
"KVAKI Mean population (persons)","Kanta-Häme",175416
"KVAKI Mean population (persons)","Pirkanmaa",501774
"KVAKI Mean population (persons)","Päijät-Häme",202217
"KVAKI Mean population (persons)","Kymenlaakso",180352
"KVAKI Mean population (persons)","South Karelia",132008
"KVAKI Mean population (persons)","Etelä-Savo",152040
"KVAKI Mean population (persons)","Pohjois-Savo",248419
"KVAKI Mean population (persons)","North Karelia",165352
"KVAKI Mean population (persons)","Central Finland",275340
"KVAKI Mean population (persons)","South Ostrobothnia",193689
"KVAKI Mean population (persons)","Ostrobothnia",180770
"KVAKI Mean population (persons)","Central Ostrobothnia",68755
"KVAKI Mean population (persons)","North Ostrobothnia",407508
"KVAKI Mean population (persons)","Kainuu",76451
"KVAKI Mean population (persons)","Lapland",182131
"KVAKI Mean population (persons)","Åland",28791
